dc_class,dcca_eng,NTorDC,dcca_class,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_diff_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth
K,Tsuen Wan - Tsuen Wan South,6,K03,1554,360,1058,618,252,1736,2418,2946,2223,515
K,Tsuen Wan - Hoi Bun,6,K04,1420,194,691,480,84,1397,1534,2714,1778,358
K,Tsuen Wan - Tsuen Wan West,6,K05,1865,387,1042,707,43,1243,2678,3066,1788,486
K,Tsuen Wan - Clague Garden,6,K06,1524,111,496,554,64,1692,1043,1333,1200,392
K,Tsuen Wan - Tsuen Wan Centre,6,K07,907,176,482,401,12,1312,1257,2179,1325,390
K,Tsuen Wan - Discovery Park,6,K08,1189,154,582,509,105,1517,2226,2069,1408,190
K,Tsuen Wan - Fuk Loi,6,K09,1015,42,234,488,9,1457,549,1042,862,353
K,Tsuen Wan - Luk Yeung,6,K10,961,70,455,323,9,815,1571,1415,1194,327
K,Tsuen Wan - Ma Wan,6,K11,457,272,695,985,-,112,2512,1661,1486,326
K,Tsuen Wan - Tsuen Wan Rural,6,K12,1169,177,742,335,-,1056,1895,2230,1688,508
K,Tsuen Wan - Ting Sham,6,K13,990,124,768,513,36,906,2040,1881,1408,555
K,Tsuen Wan - Lai To,6,K14,1176,230,728,820,40,1356,1699,1868,1567,346
K,Tsuen Wan - Allway,6,K15,1547,137,579,489,62,1492,1372,2005,1764,290
K,Tsuen Wan - Cheung Shek,6,K16,734,139,361,353,7,1203,566,1018,1454,238
K,Tsuen Wan - Shek Wai Kok,6,K17,749,144,280,218,19,1157,523,1170,1084,256
K,Tsuen Wan - Lei Muk Shue West,6,K18,837,114,288,818,9,1051,867,1369,1692,224
K,Tsuen Wan - Lei Muk Shue East,6,K19,991,198,634,1070,14,1357,1041,2166,2422,348
L,Tuen Mun - Tuen Mun Town Centre,12,L01,2409,56,355,190,11,1912,1773,1947,2136,796
L,Tuen Mun - Siu Chi,12,L02,1783,134,307,304,20,2118,1461,1844,1962,604
L,Tuen Mun - On Ting,12,L03,1020,84,189,257,13,1873,601,1210,1514,279
L,Tuen Mun - Siu Tsui,12,L04,2179,147,246,213,17,1781,1052,1856,1650,563
L,Tuen Mun - Yau Oi South,12,L05,1350,111,122,174,56,1760,425,921,1006,515
